exp,row,fold,seed,name,ba,f1
exp2,supervised,3,47,e2_f03_s47_supervised,0.6739130434782609,0.6725201708590414
exp2,teacher,3,47,e2_f03_s47_teacher,0.717391304347826,0.7106918238993711
exp2,gated_kd,4,45,e2_f04_s45_gated_kd_t040_thr050,0.6363636363636364,0.6071428571428572
exp2,supervised,4,45,e2_f04_s45_supervised,0.6818181818181819,0.681159420289855
exp2,teacher,4,45,e2_f04_s45_teacher,0.5227272727272727,0.5164835164835164
exp2,gated_kd,4,46,e2_f04_s46_gated_kd_t040_thr050,0.6590909090909092,0.6502384737678856
exp2,supervised,4,46,e2_f04_s46_supervised,0.5227272727272727,0.5164835164835164
exp2,teacher,4,46,e2_f04_s46_teacher,0.6818181818181819,0.670940170940171
exp2,gated_kd,4,47,e2_f04_s47_gated_kd_t040_thr050,0.5454545454545454,0.5445134575569358
exp2,supervised,4,47,e2_f04_s47_supervised,0.5681818181818181,0.5268817204301075
exp2,teacher,4,47,e2_f04_s47_teacher,0.6818181818181819,0.6791666666666667
exp3,gated_kd,0,42,e3_e3_f00_s42_gated_kd_b64_t040_thr050,0.6521739130434783,0.6413255360623782
exp3,gated_kd,0,43,e3_e3_f00_s43_gated_kd_b64_t040_thr050,0.5652173913043479,0.5619047619047619
exp3,gated_kd,0,44,e3_e3_f00_s44_gated_kd_b64_t040_thr050,0.5869565217391304,0.5851922164214522
exp3,gated_kd,1,42,e3_e3_f01_s42_gated_kd_b64_t040_thr050,0.5652173913043478,0.5576923076923077
exp3,gated_kd,1,43,e3_e3_f01_s43_gated_kd_b64_t040_thr050,0.6086956521739131,0.5892857142857143
exp3,gated_kd,1,44,e3_e3_f01_s44_gated_kd_b64_t040_thr050,0.6304347826086957,0.6157248157248157
exp3,gated_kd,2,42,e3_e3_f02_s42_gated_kd_b64_t040_thr050,0.6521739130434783,0.6521739130434783
exp3,gated_kd,2,43,e3_e3_f02_s43_gated_kd_b64_t040_thr050,0.6739130434782609,0.6700143472022956
exp3,gated_kd,2,44,e3_e3_f02_s44_gated_kd_b64_t040_thr050,0.4782608695652174,0.425
exp3,gated_kd,3,42,e3_e3_f03_s42_gated_kd_b64_t040_thr050,0.5434782608695652,0.532656023222061
exp3,gated_kd,3,43,e3_e3_f03_s43_gated_kd_b64_t040_thr050,0.6304347826086956,0.6288561936402468
exp3,gated_kd,3,44,e3_e3_f03_s44_gated_kd_b64_t040_thr050,0.6521739130434783,0.6461538461538461
exp3,gated_kd,4,42,e3_e3_f04_s42_gated_kd_b64_t040_thr050,0.6363636363636364,0.6239316239316239
exp3,gated_kd,4,43,e3_e3_f04_s43_gated_kd_b64_t040_thr050,0.6818181818181819,0.6791666666666667
exp3,gated_kd,4,44,e3_e3_f04_s44_gated_kd_b64_t040_thr050,0.6363636363636364,0.6071428571428572
