name,role,seed,resample,support,balanced_accuracy
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,7,58,0.5684523809523809
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,8,104,0.5272445820433436
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,9,90,0.6266666666666667
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,0,98,0.7089743589743589
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,1,104,0.7357954545454546
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,2,88,0.7174603174603175
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,3,88,0.5868055555555556
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,4,94,0.8544303797468354
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,5,81,0.6948529411764706
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,6,107,0.7140522875816994
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,7,58,0.5982142857142857
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,8,104,0.7213622291021672
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,9,90,0.68
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,0,98,0.7224358974358974
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,1,104,0.7102272727272727
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,2,88,0.6126984126984127
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,3,88,0.5868055555555556
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,4,94,0.840084388185654
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,5,81,0.7398897058823529
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,6,107,0.7196078431372549
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,7,58,0.5625
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,8,104,0.6832817337461301
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,9,90,0.7066666666666667
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,0,98,0.7230769230769231
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,1,104,0.7357954545454546
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,2,88,0.6626984126984128
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,3,88,0.5972222222222222
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,4,94,0.8654008438818566
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,5,81,0.7261029411764706
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,6,107,0.734640522875817
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,7,58,0.6101190476190477
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,8,104,0.7068111455108359
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,9,90,0.72
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,0,98,0.7166666666666667
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,1,104,0.7727272727272727
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,2,88,0.6555555555555556
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,3,88,0.5902777777777778
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,4,94,0.8130801687763713
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,5,81,0.6948529411764706
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,6,107,0.7656862745098039
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,7,58,0.6056547619047619
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,8,104,0.7272445820433436
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,9,90,0.7333333333333334
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,0,98,0.7365384615384616
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,1,104,0.78125
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,2,88,0.7547619047619047
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,3,88,0.6215277777777778
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,4,94,0.8240506329113924
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,5,81,0.6985294117647058
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,6,107,0.7441176470588236
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,7,58,0.5982142857142857
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,8,104,0.721671826625387
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,9,90,0.8066666666666666
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,0,98,0.6788461538461539
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,1,104,0.8039772727272727
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,2,88,0.6841269841269841
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,3,88,0.6111111111111112
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,4,94,0.7860759493670886
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,5,81,0.6594669117647058
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,6,107,0.7529411764705882
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,7,58,0.59375
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,8,104,0.7099071207430341
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,9,90,0.7333333333333334
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,0,98,0.6730769230769231
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,1,104,0.7443181818181819
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,2,88,0.676984126984127
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,3,88,0.5729166666666667
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,4,94,0.8717299578059072
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,5,81,0.6594669117647058
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,6,107,0.723529411764706
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,7,58,0.6026785714285714
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,8,104,0.6981424148606811
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,9,90,0.76
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,0,98,0.6794871794871795
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,1,104,0.7784090909090908
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,2,88,0.6706349206349207
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,3,88,0.59375
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,4,94,0.8320675105485232
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,5,81,0.7045036764705883
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,6,107,0.7568627450980392
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,7,58,0.6101190476190477
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,8,104,0.7099071207430341
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,9,90,0.7733333333333334
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,0,98,0.6916666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,1,104,0.71875
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,2,88,0.6626984126984128
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,3,88,0.6111111111111112
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,4,94,0.8510548523206751
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,5,81,0.6810661764705883
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,6,107,0.7290849673202615
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,7,58,0.6175595238095238
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,8,104,0.7126934984520124
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,9,90,0.78
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,0,98,0.7102564102564102
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,1,104,0.6875
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,2,88,0.6484126984126984
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,3,88,0.6006944444444444
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,4,94,0.8320675105485232
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,5,81,0.6732536764705883
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,6,107,0.6957516339869281
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,7,58,0.5580357142857143
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,8,104,0.7272445820433436
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,9,90,0.76
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,0,98,0.7487179487179487
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,1,104,0.7301136363636364
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,2,88,0.6904761904761905
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,3,88,0.6180555555555556
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,4,94,0.8257383966244726
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,5,81,0.6672794117647058
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,6,107,0.734640522875817
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,7,58,0.6101190476190477
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,8,104,0.7126934984520124
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,9,90,0.76
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,0,98,0.7294871794871794
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,1,104,0.8153409090909092
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,2,88,0.6912698412698413
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,3,88,0.6076388888888888
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,4,94,0.8637130801687765
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,5,81,0.6672794117647058
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,6,107,0.780718954248366
